"","번호","계정이름","작성일","내용"
"2689",2689,"shore0987","11/21/2012","자유 민주주의를 부정하는 좌빨 종북세력은 말로는 민주화를 외치면서도 실제로는 공산주의 이론을 바탕으로 하고 있다, 이런 파렴치한 놈들을 우리는 종북세력이라 부르는데, 자기네 얘기로는 자기네가 민주화 세력 이란다, 빨갱이들이 대한민국의 민주화를 했단다"
"2690",2690,"shore0987","11/21/2012","박정희를 친일파로 몰아가는 놈들은 좌빨밖에 없다, 좌빨들은 박정희를 친일파로 몰아간다, 그것도 대선기간에만 꼭 그렇다, 왜 그럴까?? 좌빨들은 아는것이 친일파밖에 없나?? 언제까지 과거에 매몰되서 과거만 캐낼것인가??"
"2691",2691,"snsranking","11/21/2012","김정은의 비범성을 부각하는 우상화 서적이 발간되었다. 이것들이 미쳐도 좀 고이 미쳐야 할 텐데? 이자들 보다 더한 무리들이 남한에도 득시걸거리고 있다. 종북친북 인간들을 먼저 박살내야 북의 김정은 일당이 꺼꾸러진다."
"2692",2692,"taesan4","11/21/2012","한국에서 칠레까지 1만 8607Km...지구의 정반대편에 있는 12시간 시차의 나라...남미 국가중 유일하게 우리와 FTA를 맺은 나라...이번에 KBS 뮤직뱅크 칠레공연으 로 양국이 더욱 가까위졌음 좋겠네요!"
"2693",2693,"taesan4","11/21/2012","2010년 서울시교육감 선거에서 65%가 넘는 표를 얻고도 보수후보가 난립, 표가 분산되는 바람에 좌파 곽노현에게 당선을 내준 보수진영...이번에도 남승희 전 서울시교육감이 갑자기 출마를 선언하는 바람에 분열 조짐...참 한심하네요!"
"2694",2694,"whatsupyo1111","11/21/2012","연평도 2주기를 맞아 사이버 국민 참배코너 등 관련기관에서 다양한 행사가 진행된다. 시민들과 학생들이 이런 행사에 적극적으로 참여하여 국가와 민족을 위해 전사한 장병들의 기리고 안보의식을 함양하는 소통의 장이 되었으면 한다."
"2695",2695,"whatsupyo1111","11/21/2012","광화문광장에 가보니 연평도 도발 2주기 특별사진전이 열리고 있었다. 그 때의 상황은 한 장의 사진으로만 남았지만 그들의 희생은우리 가슴 속에 계속 남겨두어야 할 것이다."
"2696",2696,"yesstory365","11/21/2012","진보좌파 종북이 동무들 고향 산천에 김정은 교주님 우상화 바람이 불고있구나. 어린 어버이 수령 김정은 동지가 남한 진보좌파 종북이들을 향하여 대선 방해공작 지령문을 하달하였던데 이를 구현하는 ?불집회라도 열어야 하는거 아닌가? 486 동무들!"
"2697",2697,"zmfpfm","11/21/2012","북한 대남기구인 조평통이 운영하는 인터넷사이트에 실린글 96건을 리트윗해 퍼뜨리거나 동영상 등 이적표현물 133건을 작성했던 박정근이 유죄판결을 받았네요. 그런데 판결근거인 국가보안법의 개정을 주장하는걸 보니 여전히 종북색깔이 있는듯 하네요."
"2698",2698,"zmfpfm","11/21/2012","유럽연합이 지난해 7월부터 올해 10월까지 북한의 굶주리는 주민을 돕기 위해 1천만유로, 미화로 약 1천300만달러를 지원했다네요. 끈임없는 국제사회의 지원에도 불구하고 북한은 핵으로 겁박질하는걸 보니 구제불능인데 거기에 빌붙는 종북세력은 또 뭔가요?"
"2699",2699,"zmfpfm","11/21/2012","북한이 정부주최로 연평도 포격도발 2주기 추모행사가 열리는 것을 두고 ""극도의 적대감을 고취해 `대통령선거'를 앞두고 안보문제를 부각시키려는 계획적인 책동""이라고 비난했네요. 북한의 이런 비난이야말로 우리 대선에 개입하는 행태겠죠."
"2700",2700,"33readerevening","11/22/2012","범민련은 북한의 호국훈련 비방 소리에 딱 맞춰서 제2의 연평도 포격전을 부르는 호국훈련이라는 글을 작성했고, 자주민보 역시 이 글을 원본 그대로 실었다. 명불허전 종북."
"2701",2701,"acacia2000","11/22/2012","북한이 최근 노동당 산하 대남혁명 전위기구인 반제민전(반제민족민주전선)을 통해 한국 내 종북세력에 대선에 개입할 것을  선동하는 격문을 하달한 것으로 확인됐다는 보도가 있네요. 굶주리는 북한 인민들이나 제대로 챙길것이지...한심한 작자들이군."
"2702",2702,"baebool","11/22/2012","이정희 ˝애국가 논란은 질 낮은 논란…그분들 한계˝http://t.co/cJEWE7XF"
"2703",2703,"bennhuhh","11/22/2012","소련과 동유럽에서 사회주의가 실패하였다고 해서 사상으로서 사회주의가 죽은 것은 아니라고 주장하는데 이말은 ""진보""를 표방하는 사람들에게 사회주의가 아직도 그들의 실천과제라는 것을 뜻한다"
"2704",2704,"bennhuhh","11/22/2012","사회상황의 개선을 뜻하는 '진보'와 한국의 진보세력이라는 사람들이 바깥사람들을 향해 외치는 '진보'는 같은 의미가 아니다  사람들의 상식을 이용할 뿐이다"
"2705",2705,"coffe_kim","11/22/2012","초등학교 중간·기말고사 금한 강원교육감의 反교육http://t.co/xKvcHhb1강원도 교육감도 좌파출신이라는데 좌파들의 생각은 상상을 불허하는구나"
"2706",2706,"dinghoa","11/22/2012","이 대통령은 임기 중 모두 49차례에 걸쳐 84개국을 방문... 앞서 노무현 전 대통령은 55개국(27차례), 김대중 전 대통령 35개국(24차례), 김영삼 전 대통령 33개국(14차례)을 순방... 현대에서 일하던 스타일 그대로시네요. 멋쟁이!!!"
"2707",2707,"estimateking","11/22/2012","RT  @###llassi: 대선을 앞두고 김정은의 뜻을 받들고 전파하는 데 혈안이된 국내 종북세력의 준동이 예상된다. 그들로선 5년 주기 대선 이상의‘호기(好機)’도 드물 것이다."
"2708",2708,"fnvh56","11/22/2012","후보 매수죄로 징역살고 있는 곽노현 전 교육감이 선거비용 반납했나요? 사회가 그다지 관심을 갖고 있지 않는듯..법과 약속을 지키지 않으면 반드시 패가망신한다는 사회적 공감대가 형성되길 기대해 봄다"
"2709",2709,"gangmoe33","11/22/2012","우리 서북도서는 언제부턴가‘한반도의 화약고’가 되었다, 이렇게 된 것은 미친 김정은 뿐만 아니라 국내 종북세력의 준동도 이유이다. 일단 국내 종북세력부터 다 잡아야 한다."
"2710",2710,"harpesang","11/22/2012","북한이 떠드는 '평화'가 김일성주의가 지배하는 한반도임을 잊지말자. 국내 종북세력과 연계된 남남갈등 부추기기로 인한 제주해군기지 건설 반대, NLL무력화 시도, 첨단화 미명하의 감군 등의 조치는 전작권전환에 때맞춰 우리 안보에 구멍을 내려는 시도이다"
"2711",2711,"humordelivery89","11/22/2012","북한군이 NLL지역 전력을 증강시키고 사격훈련에 집중하고 있다. 우리군이 즉각 보복타격할 게 두렵나봐?"
"2712",2712,"humordelivery89","11/22/2012","조폭이 학교 일진회를 배후 조종하여 학생회장 선거판을 흔들 듯. 북한이 종북세력에까지 대선개입 지령을 내리고 G-ral이네..."
"2713",2713,"ilzaali","11/22/2012","제주해군기지 건설은 이미 법원에서 판결하기를 적법하니 계속 진행하라고 명령했음에도 불구하고 제주교수협의회가 공사를 중단하고 재논의해야 한다면 예산을 전액 삭감해야 한다고 하는데 왜들 이러시나요?"
"2714",2714,"ilzaali","11/22/2012","우리 사회에서 종북 세력운운하면 뭔가를 많이 알고 있으며 공산당을 무조건 싫어 하는것으로 인식되어 있는데 우리 사회를 어지럽혀 공산화하려는 생각을 가진 사람들은 종북세력이라고 보면 된다"
"2715",2715,"ilzaali","11/22/2012","내일은 연평도 포격발생 2주년이 되는 날입니다  조금전 뉴스에서 연평부대에 대해서 방송 하였는데 이제는 걱정하지 않아도 될 것 같군요 그치만  국민의 성원이  부족해선 효과가 반감 될지도 모르지요"
"2716",2716,"jogisic","11/22/2012","북한이 물만난 고기마냥 대안 비방선동에 혈안이 된 가운데 종북세력에까지 대선개입 지령을 내렷군요. 마치 조폭이 일진회를 배후조종하여 학생회장 선거판을 흔드는 것과 같은 꼴이네요. 아무튼 이런 건 그냥 무시하면 됩니다"
"2717",2717,"jogisic","11/22/2012","트위터를 통해 북한 찬양질을 하던 박정근이란 사람이 유죄판결을 받았다 해서 좌파 매체들이 난리를 치고 있는데 그의 처벌은 당연하다. 신성한 트윗에서 어디 김정일, 김정은 찬양을 하고 자빠졌나. 그나마 집행유예 판결을 받은 것만도 고마워해야"
"2718",2718,"jogisic","11/22/2012","우리 대법원이 구속된 곽노현 전 교육감이 제정한 교권조례에 대해 집행정지 처분을 내렸다. 잘한 일이다. 이것 외에도 교육현장을 좌파이념 의식화 교육장 또는 운동원 양성장으로 이용하기 위해 전교조가 제정한 것들은 죄다 없애야 한다"
"2719",2719,"kiminhye0","11/22/2012","사이버 공간의 친북,종북 행태도 위험 수위를 넘어섰다. 각종 사이트와 트위터, 유튜브 등을 통해 김일성 주체사상과 김정일 선군정치, 핵무장과 미군 철수를 지지 하는 글을 쉽게 찾아볼 수 있다."
"2720",2720,"kiminhye0","11/22/2012","햇볕이라는 당근은 결국 북한 김정일 체제유지를 더 확고하게 만든 정권연장 수단에 악용되었을 뿐 우리에게 평화를 가져다 주지 못했다. 더 이상은 좌파정권때처럼 북한 의도에 끌려다녀서는 안된다"
"2721",2721,"kiminhye0","11/22/2012","천안함, 연평도 등 계속되는 북한의 도발을 보면 그동안 좌파정권이 퍼준 자금(국민세금)이 총알이 되어 우리 선량한 국민 가슴에 박혔다는 사실을 알 수 있다"
"2722",2722,"kiminhye0","11/22/2012","평통사를 비롯하여 민노당에 침투한 친북세력과 민노총과 전교조, 한총련과 범민련, '진보연대'등은 북한의 지령에 의해 대한민국을 파괴해 온 반역세력이다"
"2723",2723,"kiminhye0","11/22/2012","종북좌파들에게 되묻는다. 대한민국마저 북한처럼 굶어죽는 나라로 만드는 것이 소원인가. 민노당이나 진보연대, 참여연대 등등, 정당과 사회단체에 스며든 종북 독소들은 우리의 숨통을 끊어놓으려 하고 있다"
"2724",2724,"kiminhye0","11/22/2012","북한의 무력도발을 막는 최선의 방법은 여론주도층이 국가안보에 대한 경각심을 심고, 남남갈등을 일으키는 친북좌파들에 대한 경계를 늦추지 않으면서 이들이 우리사회에 발을 붙이지 못하도록 경계하는 것이다"
"2725",2725,"kiminhye0","11/22/2012","좌파 정권 10년의 비정상적이고 굴종적인 남북관계는 반드시 원래의 위치로 환원시켜야 한다. 미국을 비롯한 국제사회와의 적극적 공조를 통해 불량국가 북한을 정상적인 국가로 국제사회에 복귀시켜야 한다"
"2726",2726,"kiminhye0","11/22/2012","좌파 정권에서 북한에 지원해준 70억 달러의 돈은 북한주민에게 들어가기는커녕 , 김정일 일가와 한줌 집권세력의 호화사치와 배를 불리는데 쓰였다"
"2727",2727,"nudlenudle","11/22/2012","RT  @###dlenudle: 북한의 재발방지 약속을 받지도않고 금강산 관광 재개에만 매달리는 종북주의자들은 대한민국 국민이길 포기한 자들이다. 차라리 김정은 통치자금이 부족하니 하루바삐 비밀계좌로 직.."
"2728",2728,"nudlenudle","11/22/2012","북한은 미사일 발사, 핵무기 실험, 천안함 폭침, 연평도 포격 등 무력도발을 마음놓고 계속적으로 자행하고 있습니다. 그런데도 아무런 '전제 조건' 없이 금강산을 재개해야한다고 주장하는 종북세력은 도대체 어느나라의 국민인가요?!!"
"2729",2729,"nudlenudle","11/22/2012","종북주의자들은 도대체 말이 안되는 소리를 하고있다. 이미 죽어 자빠진 김정일이 생전에 금강산관광 사업권자인 현대아산측에 금강산 살인사건의 재발방지를 언급한 것을 북한측의 충분한 해명으로 간주하고 조건없이 금강산관광을 재개해야 한다고 주장하고 있다."
"2730",2730,"nudlenudle","11/22/2012","돌이켜보면 현 정부에서 정말 많은 일을 한 것 같네요. G20.핵안보 정상회를 비롯 FTA로 경제영토 세계 3위나 안보리 재진출 등 모두 경제 및 안보외교의 성과로 국제사회에서 한국의 위상과 영향력을 크게 격상시켰군요"
"2731",2731,"nudlenudle","11/22/2012","연평도의눈물?찬바람이 부는 이 맘 때면 죽은 자식 때문에 집안에 괴로움 과 무거움이 엄습한다는 고 문광욱 일병의 아버지와 우울증 약을 복욕중 이라는 그의 어머니를 생각하니 당장 이라도 그 놈들을 잡아다가 주리를 틀어도 시원찮을 것 같다."
"2732",2732,"shore0987","11/22/2012","대한민국 역사에서 박정희를 빼면 역사를 말할수 없다, 그러나 친북좌파들은 박정희를 친일파로만 몰아간다, 일제시대에 문인들이 일제의 강압과 공포에 어쩔수 없이 일제의 앞잡이 돌아섰던 당시의 시대 상황은 어디가고, 친일파만 남았는가??"
"2733",2733,"shore0987","11/22/2012","나꼼수는 대한민국에서 무었을 남겼는가?? 대한민국을 뒤집어 엎을려고 마음먹으면 뒤집어 엎을수 있다는 확신을 만들었다, 서너명이면 5천만 국민을 홀릴수 있다는 증거를 보여줬다, 나꼼수는 서너명이면 대한민국을 뒤엎을수 있다는 선전선동의 교범을 만든것이다"
"2734",2734,"shore0987","11/22/2012","나꼼수는 대한민국에서 무었을 남겼는가?? 대한민국을 뒤집어 엎을려고 4명만 마음먹으면 뒤집어 엎을수 있다는 확신을 만들었다, 서너명이면 5천만 국민을 홀릴수 있다는 증거를 보여줬다, 나꼼수는 위대한 선전선동의 교범을 만든것이다"
"2735",2735,"shore0987","11/22/2012","친노세력을 종북세력으로 볼수 있을까요?? 종북세력은 무었이고 친노세력은 무었인지 알쏭 달쏭 합니다, 설마 친노 세력이 종북세력은 아니지요??"
"2736",2736,"shore0987","11/22/2012","국가 보안법 폐지주장하며 총대메라는 자들이 과연 국가를 생각할까요? 2003년 보안법 폐지 시도로 시작해 군사법개혁안과 군인사권 장악으로 이어진 노무현 정권의 군부 흔들기는 우리 안보 체제를 뒤 흔드는 핵(核)폭탄이었다"
"2737",2737,"shore0987","11/22/2012","인혁당 사건이 어느사이엔가 민주화 사건으로 변질 됐다, 여순 반란사건도 제주 4.3 폭동도 민주화 사건이 되었다, 그럼 빨갱이들의 폭동은 없단 소리인가?? 폭동은 있돼 폭동은 없었다?? 그럼 여순반란은 공산혁명화를 위한 민주화 운동이었는가???"
"2738",2738,"shore0987","11/22/2012","인혁당 사건이 어느사이엔가 민주화 사건으로 변질 됐다, 여순 반란사건도 제주 4.3 폭동도 민주화 사건이 되었다, 그럼 빨갱이들의 폭동은 없단 소리인가?? 폭동은 있돼 폭동은 없었다?? 그럼 여순반란은 공산혁명화를 위한 민주화 운동이었는가???"
"2739",2739,"shore0987","11/22/2012","영토수호범국민대회준비위원회는 연평도 포격 2주기를 맞아 북한의 포격도발을 규탄하고 영토수호를 천명하는 대규모 국민대회를 개최한다고 밝혔다. 대한민국의 영토는 당연히 지켜야 한다, 그런데 좌빨들의 생각은?? 서해 NLL 정도는 내주자는 생각아닌가??"
"2740",2740,"shore0987","11/22/2012","중국 국경을 넘은 탈북자들은 배곯아 먹거리 구하려고 월경했어도 강제 송환될 경우 5년 넘게 북한정치범수용소에 감금돼 고문 당한다고 한다. 이래도 좌빨들은 북한인권법 제정을 반대 하고 있다, 좌빨들을 굶기는 현장 학습은?? 정치범수용소현장학습은 없는가?"
"2741",2741,"shore0987","11/22/2012","북한 인권법을 찬성하면 애국, 반대하면 종북이라 한다는데, 남한의 인권엔 열을 내는 종북이들이 북한인권법에는 한발을 빼는 이유는 무었인가?? 그러곤 반대하면 종북이라고 몰아붙인다고?? 종북이들아~~ 남한만 인권이 있고 북한은 인권이 없는건가??"
"2742",2742,"shore0987","11/22/2012","천안함이 암초에 걸려 침몰했다고 주장하는 종북좌파도 있다. 이들은 침몰 해역 주변에는 좌초를 시킬 만한 암초가 없었다는 공식 발표가 나왔는데도 무작정 자신만의 공상(?)을 현실성이 있는 논리처럼 주장했다, 지금은 암초가 없어졌나??왜 천안함만 암초에?"
"2743",2743,"snailcharm","11/22/2012","북한이 연일 우리나라 대선을 앞두고 대남 비방선동에 혈안이 되어 있다는 증거들이 나오고 있다. 종북세력들에게는 대선에 적극적으로 개입할 것을 요구하는 지령까지 하달하고. 종북세력들은 확실히 뿌리뽑아야 한다. 대한민국을 적에게 넘겨주자는 꼴 아닌가."
"2744",2744,"SnailCharm","11/22/2012","@###suyon19 종북좌익세력들은 북한의 지령에 따라 우리내부에서 대남적화혁명을 성실히 수행하고 있습니다. 이들의 활동을 원천적으로 차단시키기 위해서는 국내 종북세력의 상부세력인 북한 김정일정권을 고립화시켜 궁극적으로 붕괴시켜야 할 것입니다"
"2745",2745,"taesan4","11/22/2012","조국 교수님, 황석영 작가님 엉뚱한 촛불들려고 할 생각말고 오늘같은 날은 종북좌파건 건전보수가 함께 광화문광장에서 연평도 포격도발로 숨진 해병대 2명과 민간인 2명을 추모하기 위한 촛불을 들어야 하는거 아닌가요?"
"2746",2746,"thxhd7","11/22/2012","RT  @###ffe_kim: 선거비용 國庫보전금 ‘먹튀 방지법’ 절실하다http://t.co/LEU5o0Q0종북당의 종북녀 대선출마도 선거보조금 때문에 나온다는 설이 파다 하던데 맞나??"
"2747",2747,"tjdnfdp","11/22/2012","사이버 공간의 친북,종북 행태도 위험 수위를 넘어섰다. 각종 사이트와 트위터, 유튜브 등을 통해 김일성 주체사상과 김정일 선군정치, 핵무장과 미군 철수를 지지하는 글을 쉽게 찾아볼 수 있다"
"2748",2748,"tjdnfdp","11/22/2012","북한은 올해 곡물 생산량이 511만 톤이라고 발표했는데, 이는 북한 전 주민이 1년간 먹을 수 있는 양입니다. 종북세력의 북한 ‘식량난’ 주장이 과장된 것임을 알 수 있습니다."
"2749",2749,"tjdnfdp","11/22/2012","종북좌파는 국민주권을 내세워 국민 각자가 정부를 무너뜨릴 수 있는 권리를 가지고 있고 또 그렇게 하는 것이 헌법에 규정된 권리인양 당연한 것처럼 국민을 선동하고 있습니다"
"2750",2750,"tjdnfdp","11/22/2012","한 사람이 종북단체 구성원으로 수십곳에 이름이 등재되고 합니다. 그들은 시민단체를 가장하여 지자체의 후원금을 타내기 위한 편법을 동원하는 것입니다."
"2751",2751,"tjdnfdp","11/22/2012","무엇을 내 놓든 반대하며, 기존질서와 권위에 무조건 저항하는 것이 좌파들이다. 그들에게 저항은 신앙이기 때문에 그들을 광신자라 할 수 있다."
"2752",2752,"type0789","11/22/2012","오바마 대통령은 북한 김정은 정권에 대해서도 핵무기를 내려놓고 평화와 진보의 길을 간다면 미국으로부터 도움의 손길을 받을 수 있다며 미얀마를 본받아라는 메시지를 던졌다."
"2753",2753,"type0789","11/22/2012","올 연초에도 김정은이 반민제전을 통해 진보세력의 대단합을 이룩해 올해 총선과 대선에서 역적패당에게 결정적 패배를 안겨야 한다는 내용의 대남 명령 1호을 하달한 바 있다. 이는 노골적인 선거개입이 아닐수 없다."
"2754",2754,"type0789","11/22/2012","국내 종북 주사파 세력이 대선을 앞둔 북한의 대남 선전선동에 부화뇌동하며 반민주적, 반국가적 행동을 획책할 경우, 대한민국에 심각한 안보적 위기를 초래할 것이며 북한의 부적절한 선거개입 시도를 즉각 중단 해야 할 것이다."
"2755",2755,"whatsupyo1111","11/22/2012","연평도도발이 일어난지 벌써 2년이 지났다. 우리야 2년이 금방 지나갔다고 느끼지만 희생된 장병들의 가족들에겐 20년 같이 긴 세월이었을듯. 다시 한 번 그들의 희생을 기억해주는 것만이 그들의 희생을 조금이 남아 헛되지 않게 하는 일이라 생각한다"
"2756",2756,"whatsupyo1111","11/22/2012","연평도 도발 2주년. 무엇보다 우리가 다시 한번 그들의 희생을 기억하고 철처한 안보의식으로 무장하는게 중요할 것 같다."
"2757",2757,"whatsupyo1111","11/22/2012","제2의 연평도 포격사건이 일어나지 않기 위해서는 연평도 포격사건을 잊지 않고 아직도 고통 받고 있는 그날의  당사자들과 유가족을 위로하고 격려해야 할 것이다."
"2758",2758,"whatsupyo1111","11/22/2012","22일 대전현충원에서는 연평도포격으로 희생된 전사자 모역 참배행사 실시,23일에는 전쟁기념관에서 '튼튼한 안보 없이는 평화도 번영도 없다' 는 주제로 2주기 행사 개최!이런 행사에 적극적 참여하는 것이 그들의 희생을 헛되지 않게 하는 것이라 생각한다."
"2759",2759,"zmfpfm","11/22/2012","연초 김정은이 `대남명령 1호'에서 올해 우리의 총선과 대선에서 선거 개입명령을 하달했었죠. 이에 최근 북한이 400명의 보위부요원을 중국에 파견해 광범위한 대선 개입 공작활동을 한다는데 종북세력 준동으로 나타날테니 잘 살펴 부화뇌동하지 말아야겠죠."
"2760",2760,"zmfpfm","11/22/2012","김문수 경기지사가 자신의 블로그에 연평도 포격도발 희생자에 대한 추모글과 함께 ""북한이 또 포격도발을 해온다면 원점까지 타격해 강력히 응징해야 한다""고 했네요. 북한을 추종하는 종북이들만 빼고 모든 국민이 똑같은 마음이겠죠."
"2761",2761,"zmfpfm","11/22/2012","지금까지는 복제가 어려운 포장인증을 이용해 정품약물을 구분했지만 포장을 제거하면 구별하기 어려웠었는데 먼지 크기의 QR코드를 이용해 정품과 위조 약물을 판별해내는 기술이 개발됐다네요. 정품 약물에만 쓸게 아니라 종북세력 구분용으로 쓰면 어떨까요?"
"2762",2762,"nudlenudle","11/23/2012","일본의 독도 영유권 망동은 대한민국 영토주권에 대한 정면도전 이므로 백년대계를 위한 독도지킴이 활동에 모두가 앞장 섰으면 합니다.또한 종북 좌파세력으로부터 자유민주주의 기본질서를 수호하기 위한 범국민운동을 통일준비운동의 일환으로 추진했으면 합니다"
"2763",2763,"zmfpfm","11/23/2012","한국과 중국, 일본이 '3개국 자유무역협정(FTA) 교섭 개시'를 선언할 예정이라고하네요. 빠른 시간애에 타결되어 경제영토 확장으로 이어졌으면 좋겠네요."
"2764",2764,"harpesang","11/23/2012","NLL을 내어주면 수도권은 언제든 북한군의 위협에 놓일수있다.평화에 취해 감군과 나이브한 대북정책이라는 악수를 쏟아낸다면 이는 좌익이 주장하는 2013체제와 맞물려 대한민국을 현금지급기로,볼모로 만들 것이다.NLL의 중요성을 확산시킨 한 논객이 고맙다"
"2765",2765,"harpesang","11/23/2012","북한에서 대남 지령 하달은 수령의 고유 권한이다. 김정은은 연초에도 반제민전을 통해 ‘진보세력의 대단합을 이룩해 올해 총선과 대선에서 역적패당에게 결정적 패배를 안겨야 한다’ 는 내용의 ‘대남 명령 1호’를 하달한 바 있다..."
"2766",2766,"humordelivery89","11/23/2012","북한이 믿는 구석이 두 개 있는데, 하나는 핵무기요, 다른 하나는 남한내 종북세력. 얼마나 든든해?"
"2767",2767,"ilzaali","11/23/2012","오늘이 연평도 포격  사건이 일어난지 2년  되는 날이군요  사실 기억하고 싶지 않은 날이지만 기억하고 또 기억해서 다시는 그런 사건이 발생하지 않도록  노력혀야 할 것입니다"
"2768",2768,"jogisic","11/23/2012","김정은은 지난 1월 1일 권력 승계 후 처음 내린 '대남명령 1호'에서 ""진보세력의 대단합을 이룩해 올해 총선과 대선에서 역적패당에게 결정적 패배를 안겨야 한다""며 남한 선거에 개입하라는 명령을 하달한 바 있다"
"2769",2769,"jogisic","11/23/2012","한류 콘텐츠. 관광 등 서비스수출이 사상 최초 1천억 달러를 돌파할 전망이다. 서비스산업은 고용창출은 물론 무역수지 개선에도 큰 효과가 있는 만큼 FTA시대에 서비스를 전략상품으로 개발할 필요성이 있다"
"2770",2770,"jogisic","11/23/2012","건설사들이 제주 해군기지 공사지연 피해 배상금으로 230억을 국방부에 요구했다는데 이돈은 아마도 그곳을 점거하고 있는 좌빨 환경단체들이 내야 할 것같다"
"2771",2771,"jogisic","11/23/2012","이명박 대통령은 경제위기 극복을 위해 세계 각지를 백방으로 뛰어 다니며 해외 투자 유치, FTA확대, 원전 및 자원개발 수주 등 많은 성과를 냈지만 국내에서 너무 좌빨들의 MB에 대한 헐뜯기가 심해서그 공로를 인정받지 못해서 안타깝네요"
"2772",2772,"jogisic","11/23/2012","김관진 국방이 '북한이 대선 전후로 도발 가능성이 있다'니 긴장들 하고 있어야 하겠네. 근데 어디서 하지? 연평도는 첨단무기로 무장을 하고 단단히 벼루고 있는데..... 아마 못할거야"
"2773",2773,"jogisic","11/23/2012","북한이 우리가 외국인 금강산관광 중단을 요구한 것에 대해 주권침해라고 주장했다는데 웃긴놈덜, 멀쩡한 우리 건물을 몰수해서 영업을 하는 날강도 같은 놈들이.... 또 니들이 우리 대선에 개입하는 것은 괜찮고?"
"2774",2774,"kang_sooji","11/23/2012","국내의 유수 좌파 언론들은 유엔이 북한정권에 대한 입장에 대해 조용히 지나가길 원하고 있는 것으로 보여진다. 오즉하면, 유엔이 북한에게 인권탄압 국가라고 하는지 눈 여겨 봐야 한다."
"2775",2775,"kiminhye0","11/23/2012","종북좌익세력들은 현정부와 자본주의를 타도해야 할 적(敵)으로 간주하고 있습니다. 반면 북한 김정일정권에 대해서는 매우 우호적입니다. 이는 대한민국의 자유 민주주의체제와 국가정통성을 정면으로 부정하는 시각인 것입니다."
"2776",2776,"kiminhye0","11/23/2012","북한 주민들을 굶기는 것은 군량미를 틀어쥐고 북한 지도층만 배불리 먹이는 김정일과 그런 김정일을 칭송하는 남한 친북좌파이다"
"2777",2777,"kiminhye0","11/23/2012","대한민국체제와 헌정질서를 파괴하고 종북에 목숨을 거는 일파들과 결연한 투쟁 에 나서야 한다. 북한 김정일과 노동당에 충성하는 자들을 대한민국 국민으로 인정하고 그들과 함께 살아갈 수는 없다"
"2778",2778,"kiminhye0","11/23/2012","친북좌파는 대한민국에게 대북 쌀지원을 강요하지 말고, 33억짜리 애완용 돌고래를 단박에 사들이는 '통 큰 지도자(?)' 김정일에게 북한 주민들 좀 먹여살리라고 압박하길 촉구한다"
"2779",2779,"kiminhye0","11/23/2012","종북좌파들에게 되묻는다. 대한민국마저 북한처럼 굶어죽는 나라로 만드는 것이 소원인가. 민노당이나 진보연대, 참여연대 등등, 정당과 사회단체에 스며든 종북 독소들은 우리의 숨통을 끊어놓으려 하고 있다"
"2780",2780,"kiminhye0","11/23/2012","반정부 시위는 종북좌익들의 주특기인데 유독 미국과 연관된 일에서 강하다. 반면 금강산 관광객 피살, 천안함, 연평도 등 북한에 의해 우리 국민이 죽거나 다친 사건에 대해 저들은 단 한 번도 시위를 안했다"
"2781",2781,"kiminhye0","11/23/2012","전교조에 세뇌된 청소년들은 이유도 모르고 미국은 나쁜 나라고 북한은 우리 민족이니까 도와줘야 한다고 생각하게 된다. 자신의 의지와 무관하게 사상이 선동된 것이다. 이는 대한민국의 잠재적인 위협이다."
"2782",2782,"kiminhye0","11/23/2012","좌파 정권 10년의 비정상적이고 굴종적인 남북관계는 반드시 원래의 위치로 환원시켜야 한다. 미국을 비롯한 국제사회와의 적극적 공조를 통해 불량국가 북한을 정상적인 국가로 국제사회에 복귀시켜야 한다"
"2783",2783,"kiminhye0","11/23/2012","친북(親北), 종북(從北) 세력들은 좌파 정권 10년 동안 햇볕정책의 산물인 안보 불감증을 자양분 삼아 뿌리내린 뒤, 이제는 대한민국 체제 붕괴를 노리고 있다."
"2784",2784,"kiminhye0","11/23/2012","내부의 적이라고 할 수 있는 우리사회의 친북,종북세력들은 좌파정권서 급성장 해 권력 중심까지 진출했다. 핵심세력 3만명 추종세력은 50만명이 넘는 것으로 추산되고 있다"
"2785",2785,"lemimietoile","11/23/2012","김정은 측근 자제들의 모임인 '봉화조'가 기쁨조를 옆에 끼고 필로폰 밤샘 파티에 빠져있다는..북한 상류층들이 기아에 허덕이는 주민들을 외면한 채 퇴폐향락에 놀아나고 있는데도 종북세력은 그런 북한이 더 믿음이 간다니 기가 찰 노릇.."
"2786",2786,"lemimietoile","11/23/2012","최근 종북좌파는 내부적으로 혼란에 빠져있습니다. 다름아닌 북한 주체사상을 추종하는 NL계와 마르크스-레닌주의를 추종해온 PD계 간의 갈등입니다. 간혹 자신들을 진보라고 주장하는 논객들이 티격태격하는 것도 이러한 노선차이가 원인입니다"
"2787",2787,"mollassi","11/23/2012","RT  @###llassi: 북한은 최근 남남갈등을 증폭시키기 위한 심리전을 강화하고 있다. 적의 전술을 깨부수기위해선 강한 안보의식이 필요하다. 이사회에서 종북이들을 몰아내자!: RT  @###llass.."
